Melozone crissalis,California_Towhee
Stellula calliope,Calliope_Hummingbird
Branta canadensis,Canada_Goose
Melozone fuscus,Canyon_Towhee
Catherpes mexicanus,Canyon_Wren
Leptotila jamaicensis,Caribbean_Dove
Parus carolinensis,Carolina_Chickadee
Conuropsis carolinensis,Carolina_Parakeet
Thryothorus ludovicianus,Carolina_Wren
Sterna caspia,Caspian_Tern
Ptychoramphus aleuticus,Cassin's_Auklet
Carpodacus cassinii,Cassin's_Finch
Tyrannus vociferans,Cassin's_Kingbird
Peucaea cassinii,Cassin's_Sparrow
Vireo cassinii,Cassin's_Vireo
Bubulcus ibis,Cattle_Egret
Petrochelidon fulva,Cave_Swallow
Bombycilla cedrorum,Cedar_Waxwing
Parus rufescens,Chestnut-backed_Chickadee
Arremon brunneinucha,Chestnut-capped_Brush-finch
Calcarius ornatus,Chestnut-collared_Longspur
Celeus castaneus,Chestnut-coloured_Woodpecker
Dendroica pensylvanica,Chestnut-sided_Warbler
Corvus cryptoleucus,Chihuahuan_Raven
Chaetura pelagica,Chimney_Swift
Spizella passerina,Chipping_Sparrow
Pachyramphus cinnamomeus,Cinnamon_Becard
Amazilia rutila,Cinnamon_Hummingbird
Anas cyanoptera,Cinnamon_Teal
Peucaea sumichrasti,Cinnamon-tailed_Sparrow
Trogon citreolus,Citreoline_Trogon
Motacilla citreola,Citrine_Wagtail
Rallus longirostris,Clapper_Rail
Nucifraga columbiana,Clark's_Nutcracker
Spizella pallida,Clay-coloured_Sparrow
Petrochelidon pyrrhonota,Cliff_Swallow
Charadrius collaris,Collared_Plover
Trogon collaris,Collared_Trogon
Grus grus,Common_Crane
Somateria mollissima,Common_Eider
Bucephala clangula,Common_Goldeneye
Tringa nebularia,Common_Greenshank
Uria aalge,Common_Guillemot
Gavia immer,Common_Loon
Mergus merganser,Common_Merganser
Gallinula chloropus,Common_Moorhen
Chordeiles minor,Common_Nighthawk
Phalaenoptilus nuttallii,Common_Poorwill
Corvus corax,Common_Raven
Carpodacus erythrinus,Common_Rosefinch
Sturnus vulgaris,Common_Starling
Saxicola torquatus,Common_Stonechat
Sterna hirundo,Common_Tern
Pterodroma cookii,Cook's_Petrel
Accipiter cooperii,Cooper's_Hawk
Empidonax occidentalis,Cordilleran_Flycatcher
Calonectris diomedea,Cory's_Shearwater
Calypte costae,Costa's_Hummingbird
Vireo bairdi,Cozumel_Vireo
Geranospiza caerulescens,Crane_Hawk
Synthliboramphus craveri,Craveri's_Murrelet
Aethia cristatella,Crested_Auklet
Caracara cheriway,Crested_Caracara
Morphnus guianensis,Crested_Eagle
Penelope purpurascens,Crested_Guan
Lophostrix cristata,Crested_Owl
Toxostoma crissale,Crissal_Thrasher
Toxostoma curvirostre,Curve-billed_Thrasher
Muscicapa sibirica,Dark-sided_Flycatcher
Microrhopias quixensis,Dot-winged_Antwren
Phalacrocorax auritus,Double-crested_Cormorant
Burhinus bistriatus,Double-striped_Thick-knee
Harpagus bidentatus,Double-toothed_Kite
Picoides pubescens,Downy_Woodpecker
Cercomacra tyrannina,Dusky_Antbird
Cynanthus sordidus,Dusky_Hummingbird
Turdus naumanni,Dusky_Thrush
Cyanolyca nana,Dwarf_Jay
Vireo nelsoni,Dwarf_Vireo
Nyctiphrynus mcleodii,Eared_Poorwill
Euptilotis neoxenus,Eared_Quetzal
Sialia sialis,Eastern_Bluebird
Tyrannus tyrannus,Eastern_Kingbird
Sayornis phoebe,Eastern_Phoebe
Pipilo erythrophthalmus,Eastern_Towhee
Callipepla douglasii,Elegant_Quail
Sterna elegans,Elegant_Tern
Micrathene whitneyi,Elf_Owl
Aulacorhynchus prasinus,Emerald_Toucanet
Abeillia abeillei,Emerald-chinned_Hummingbird
Chen canagica,Emperor_Goose
Numenius borealis,Eskimo_Curlew
Pyrrhula pyrrhula,Eurasian_Bullfinch
Eudromias morinellus,Eurasian_Dotterel
Carduelis spinus,Eurasian_Siskin
Jynx torquilla,Eurasian_Wryneck
Coccothraustes vespertinus,Evening_Grosbeak
Rhynchocyclus brevirostris,Eye-ringed_Flatbill
Turdus obscurus,Eyebrowed_Thrush
Pterodroma feae,Fea's_Petrel
Buteo regalis,Ferruginous_Hawk
Glaucidium brasilianum,Ferruginous_Pygmy-owl
Spizella pusilla,Field_Sparrow
Corvus ossifragus,Fish_Crow
Amphispiza quinquestriata,Five-striped_Sparrow
Deltarhynchus flammulatus,Flammulated_Flycatcher
Otus flammeolus,Flammulated_Owl
Puffinus carneipes,Flesh-footed_Shearwater
Tyrannus savana,Fork-tailed_Flycatcher
Oceanodroma furcata,Fork-tailed_Storm-petrel
Sterna forsteri,Forster's_Tern
Passerella iliaca,Fox_Sparrow
Larus pipixcan,Franklin's_Gull
Strix fulvescens,Fulvous_Owl
Pterodroma phaeopygia,Galapagos_Petrel
Callipepla gambelii,Gambel's_Quail
Lamprolaima rhami,Garnet-throated_Hummingbird
Melanerpes uropygialis,Gila_Woodpecker
Colaptes chrysoides,Gilded_Flicker
Larus hyperboreus,Glaucous_Gull
Larus glaucescens,Glaucous-winged_Gull
Plegadis falcinellus,Glossy_Ibis
Aquila chrysaetos,Golden_Eagle
Vireo hypochryseus,Golden_Vireo
Melanerpes chrysogenys,Golden-cheeked_Woodpecker
Regulus satrapa,Golden-crowned_Kinglet
Zonotrichia atricapilla,Golden-crowned_Sparrow
Melanerpes aurifrons,Golden-fronted_Woodpecker
Colaptes rubiginosus,Golden-olive_Woodpecker
Vermivora chrysoptera,Golden-winged_Warbler
Dendroica graciae,Grace's_Warbler
Ammodramus savannarum,Grasshopper_Sparrow
Leucosticte tephrocotis,Gray-crowned_Rosy-finch
Taraba major,Great_Antshrike
Phalacrocorax carbo,Great_Cormorant
Crax rubra,Great_Curassow
Casmerodius albus,Great_Egret
Pitangus sulphuratus,Great_Kiskadee
Nyctibius grandis,Great_Potoo
Puffinus gravis,Great_Shearwater
Stercorarius skua,Great_Skua
Tinamus major,Great_Tinamou
Fregata minor,Greater_Frigatebird
Rhodacanthis palmeri,Greater_Koa-finch
Contopus pertinax,Greater_Pewee
Tympanuchus cupido,Greater_Prairie-chicken
Geococcyx californianus,Greater_Roadrunner
Centrocercus urophasianus,Greater_Sage-grouse
Aythya marila,Greater_Scaup
Tringa melanoleuca,Greater_Yellowlegs
Butorides virescens,Green_Heron
Cyanocorax yncas,Green_Jay
Chloroceryle americana,Green_Kingfisher
Colibri thalassinus,Green_Violet-ear
Arremonops chloronotus,Green-backed_Sparrow
Anthracothorax prevostii,Green-breasted_Mango
Amazilia viridifrons,Green-fronted_Hummingbird
Arremon virenticeps,Green-striped_Brush-finch
Pipilo chlorurus,Green-tailed_Towhee
Myiopagis viridicata,Greenish_Elaenia
Emberiza variabilis,Grey_Bunting
Empidonax wrightii,Grey_Flycatcher
Perisoreus canadensis,Grey_Jay
Tyrannus dominicensis,Grey_Kingbird
Perdix perdix,Grey_Partridge
Pluvialis squatarola,Grey_Plover
Motacilla cinerea,Grey_Wagtail
Campylorhynchus megalopterus,Grey-barred_Wren
Melanerpes hypopolius,Grey-breasted_Woodpecker
Carduelis sinica,Grey-capped_Greenfinch
Leptotila cassini,Grey-chested_Dove
Pachyramphus major,Grey-collared_Becard
Colaptes auricularis,Grey-crowned_Woodpecker
Aramides cajaneus,Grey-necked_Wood-rail
Heteroscelus brevipes,Grey-tailed_Tattler
Crotophaga sulcirostris,Groove-billed_Ani
Oceanodroma macrodactyla,Guadalupe_Storm-petrel
Sterna nilotica,Gull-billed_Tern
Falco rusticolus,Gyr_Falcon
Picoides villosus,Hairy_Woodpecker
Empidonax hammondii,Hammond's_Flycatcher
Thryothorus felix,Happy_Wren
Histrionicus histrionicus,Harlequin_Duck
Harpia harpyja,Harpy_Eagle
Parabuteo unicinctus,Harris's_Hawk
Zonotrichia querula,Harris's_Sparrow
Moho nobilis,Hawaii_Oo
Fulica alai,Hawaiian_Coot
Corvus hawaiiensis,Hawaiian_Crow
Branta sandvicensis,Hawaiian_Goose
Buteo solitarius,Hawaiian_Hawk
Pterodroma sandwichensis,Hawaiian_Petrel
Larus heermanni,Heermann's_Gull
Ammodramus henslowii,Henslow's_Sparrow
Catharus guttatus,Hermit_Thrush
Dendroica occidentalis,Hermit_Warbler
Larus argentatus,Herring_Gull
Penelopina nigra,Highland_Guan
Coccothraustes abeillei,Hooded_Grosbeak
Chondrohierax uncinatus,Hook-billed_Kite
Podiceps auritus,Horned_Grebe
Oreophasis derbianus,Horned_Guan
Fratercula corniculata,Horned_Puffin
Carpodacus mexicanus,House_Finch
Troglodytes aedon,House_Wren
Limosa haemastica,Hudsonian_Godwit
Vireo huttoni,Hutton's_Vireo
Larus glaucoides,Iceland_Gull
Campephilus imperialis,Imperial_Woodpecker
Columbina inca,Inca_Dove
Pagophila eburnea,Ivory_Gull
Campephilus principalis,Ivory-billed_Woodpecker
Moho braccatus,Kauai_Oo
Electron carinatum,Keel-billed_Motmot
Ramphastos sulfuratus,Keel-billed_Toucan
Larus dominicanus,Kelp_Gull
Charadrius alexandrinus,Kentish_Plover
Somateria spectabilis,King_Eider
Rallus elegans,King_Rail
Sarcoramphus papa,King_Vulture
Dendroica kirtlandii,Kirtland's_Warbler
Brachyramphus brevirostris,Kittlitz's_Murrelet
Camptorhynchus labradorius,Labrador_Duck
Picoides scalaris,Ladder-backed_Woodpecker
Locustella lanceolata,Lanceolated_Warbler
Calcarius lapponicus,Lapland_Longspur
Phaetusa simplex,Large-billed_Tern
Calamospiza melanocorys,Lark_Bunting
Chondestes grammacus,Lark_Sparrow
Herpetotheres cachinnans,Laughing_Falcon
Larus atricilla,Laughing_Gull
Estrilda caerulescens,Lavender_Waxbill
Carduelis lawrencei,Lawrence's_Goldfinch
Phoebastria immutabilis,Laysan_Albatross
Anas laysanensis,Laysan_Duck
Telespiza cantans,Laysan_Finch
Porzana palmeri,Laysan_Rail
Oceanodroma leucorhoa,Leach's_Storm-petrel
Aethia pusilla,Least_Auklet
Ixobrychus exilis,Least_Bittern
Empidonax minimus,Least_Flycatcher
Tachybaptus dominicus,Least_Grebe
Calidris minutilla,Least_Sandpiper
Halocyptena microsoma,Least_Storm-petrel
Sterna antillarum,Least_Tern
Fregata ariel,Lesser_Frigatebird
Carduelis psaltria,Lesser_Goldfinch
Chordeiles acutipennis,Lesser_Nighthawk
Geococcyx velox,Lesser_Roadrunner
Aythya affinis,Lesser_Scaup
Tringa flavipes,Lesser_Yellowlegs
Melanerpes lewis,Lewis's_Woodpecker
Amazona finschi,Lilac-crowned_Amazon
Melospiza lincolnii,Lincoln's_Sparrow
Dryocopus lineatus,Lineated_Woodpecker
Alle alle,Little_Auk
Emberiza pusilla,Little_Bunting
Larus minutus,Little_Gull
Crypturellus soui,Little_Tinamou
Tyrannus caudifasciatus,Loggerhead_Kingbird
Numenius americanus,Long-billed_Curlew
Limnodromus scolopaceus,Long-billed_Dowitcher
Heliomaster longirostris,Long-billed_Starthroat
Toxostoma longirostre,Long-billed_Thrasher
Asio otus,Long-eared_Owl
Clangula hyemalis,Long-tailed_Duck
Stercorarius longicaudus,Long-tailed_Jaeger
Chiroxiphia linearis,Long-tailed_Manakin
Campylopterus excellens,Long-tailed_Sabrewing
Dendrortyx macroura,Long-tailed_Wood-partridge
Calidris subminuta,Long-toed_Stint
Cotinga amabilis,Lovely_Cotinga
Eugenes fulgens,Magnificent_Hummingbird
Dendroica magnolia,Magnolia_Warbler
Coccyzus minor,Mangrove_Cuckoo
Vireo pallens,Mangrove_Vireo
Puffinus puffinus,Manx_Shearwater
Limosa fedoa,Marbled_Godwit
Brachyramphus marmoratus,Marbled_Murrelet
Rhynchopsitta terrisi,Maroon-fronted_Parrot
Cistothorus palustris,Marsh_Wren
Nomonyx dominicus,Masked_Duck
Paroreomyza montana,Maui_Alauahio
Pseudonestor xanthophrys,Maui_Parrotbill
Rhynchophanes mccownii,McCown's_Longspur
Amazona farinosa,Mealy_Amazon
Parus sclateri,Mexican_Chickadee
Forpus cyanopygius,Mexican_Parrotlet
Thalurania ridgwayi,Mexican_Woodnymph
Ara militaris,Military_Macaw
Ictinia mississippiensis,Mississippi_Kite
Cyrtonyx montezumae,Montezuma_Quail
Anas fulvigula,Mottled_Duck
Pterodroma inexpectata,Mottled_Petrel
Sialia currucoides,Mountain_Bluebird
Parus gambeli,Mountain_Chickadee
Charadrius montanus,Mountain_Plover
Oreortyx pictus,Mountain_Quail
Zenaida macroura,Mourning_Dove
Cairina moschata,Muscovy_Duck
Ficedula narcissina,Narcissus_Flycatcher
Vermivora ruficapilla,Nashville_Warbler
Phalacrocorax brasilianus,Neotropic_Cormorant
Puffinus newelli,Newell's_Shearwater
Telespiza ultima,Nihoa_Finch
Camptostoma imberbe,Northern_Beardless-tyrannulet
Oncostoma cinereigulare,Northern_Bentbill
Colaptes auratus,Northern_Flicker
Fulmarus glacialis,Northern_Fulmar
Morus bassanus,Northern_Gannet
Accipiter gentilis,Northern_Goshawk
Circus cyaneus,Northern_Harrier
Jacana spinosa,Northern_Jacana
Mimus polyglottos,Northern_Mockingbird
Parula americana,Northern_Parula
Anas acuta,Northern_Pintail
Nyctibius jamaicensis,Northern_Potoo
Anas clypeata,Northern_Shoveler
Oenanthe oenanthe,Northern_Wheatear
Picoides nuttallii,Nuttall's_Woodpecker
